FOKONTANY_;COMMUNE_NA
Lakovola;Marovoay Banlieue
Analila;Masomeloka
Manonilaza;Masomeloka
Valokianja;Masomeloka
Lokia;Masomeloka
Anezandava;Matanga
Mandritsara;Matanga
Vohimary;Matanga
Ambatomitio;Matanga
Bevalevy;Matanga
Vohitrapaly;Matanga
Ambalengo;Matanga
Tanatana;Matanga
Fapira;Matanga
Matanga;Matanga
Vohitsirika;Matanga
Ambatsipaky;Matanga
Tavivola;Matanga
Ambohipeno;Miadanandriana
Anorana;Miandrandra
Antevapotsy;Miandrandra
Antsiriry;Miandrandra
Anositsiandrano;Miandrandra
Andoharanovelona;Miandrandra
Atsimonimanango;Miandrandra
Miandrandra;Miandrandra
Anosy;Miandrandra
Mandavotsiraka;Miandrandra
Ankadivavala;Miandrandra
Miandrarivo II;Miandrarivo
Ankazomifandraitanana;Miarinavaratra
Ambohimanatrika;Miarinavaratra
Antanambao Lavenona;Miarinavaratra
Ambohimananarivo;Miarinavaratra
Soavimbahoaka;Miarinavaratra
Miandrisoa Sarandrana;Miarinavaratra
Lakandrano;Miarinavaratra
Tsaramandroso;Miarinavaratra
Ampihadiamby;Miarinavaratra
Voatavomonta;Miarinavaratra
Fadiorana;Miarinavaratra
Antsahalava;Miarinavaratra
Mahalavolona;Morarano
Antsahanadrisa;Morarano
Antsahasoa;Morarano
Mangabe;Morarano
Ambatofotsy;Morarano
Morarano;Morarano
Mandrosoa;Morarano
Fenomanana;Morarano
Ambodirano;Morarano Chrome
Andoharano;Morarano Chrome
Antetezantany;Morarano Chrome
Antanimafy;Morarano Chrome
Anjahana;Anjahana
Mahafidina I;Anjahana
Mahafidina II;Anjahana
Anjalazala;Anjalazala
Andavadoko;Anjalazala
Erada Popiner;Anjeky Ankilikira
Beanatara I;Anjeky Ankilikira
Analavelo Bearivo;Anjeky Ankilikira
Anjeky Enikonty;Anjeky Ankilikira
Beanantara II;Anjeky Ankilikira
Ambodimabibo;Anjiamangirana
Anjiamangirana I;Anjiamangirana
Ambodimanga I;Anjiamangirana
Ambohimarina;Anjiamangirana
Antanambao I;Anjiamangirana
Ambodibonara;Anjiamangirana
Ankarabato;Anjiamangirana
Anjiamangirana II;Anjiamangirana
Andalirano;Anjiamangirana
Maroadabo;Anjiamangirana
Andranomanintsy;Ankaranabo Nord
Bevoa;Ankaranabo Nord
Ambinanivelo;Ankaranabo Nord
Ambodimanga;Ankaranana
Marofotsy;Ankaranana
Besavoa Manandaza;Ankazoabo Sud
Tanambao Soarano;Ankazoabo Sud
Analambarika;Ankazoabo Sud
Andranovory Betsinefo;Ankazoabo Sud
Ankalirano Mahafaly;Ankazoabo Sud
Ankilimalinike;Ankilimalinike
Tanambe Manirisoa;Ankilimalinike
Tanandava Metaye;Ankilimalinike
Andrevo Haut;Ankilimalinike
Belemboka Andohateva;Ankilimalinike
Maheriara;Morarano Chrome
Maharidaza;Morarano Chrome
Antanimena;Morarano Chrome
Manakambahinikely;Morarano Chrome
Ambatovanda Centre;Andranovory
Anketa Ambohimandroso;Andranovory
Tanambao Andranovory;Andranovory
Vorondreo Vaovao;Andranovory
Sambaindefo Betsinefo;Andranovory
Anketa Anivorano;Andranovory
Anketa Tanindraza;Andranovory
Andatsakala;Andratamarina
Soahitra I;Andratamarina
Ampampamena I;Andratamarina
Sahamazava;Andratamarina
Andratamarina;Andratamarina
Befotatra;Andratamarina
Analampontsy;Andratamarina
Ampandrana;Andratamarina
Ambodivohitra;Andratamarina
Betoho;Andratamarina
Ambalajirofo;Andratamarina
Anohibe;Andratamarina
Antangana;Andratamarina
Marofandrana;Andratamarina
Andratamarina;Andratamarina
Antanambaon'ambalavelona;Andratamarina
Antsahanandriana;Andravory
Bearamanja;Andravory
Bemena;Andrea
Ankarongana;Andrebakely Nord
Ambinanindranofotsy;Andrebakely Nord
Ambendrana;Andrebakely Nord
Befody Anava;Andrebakely Nord
Antanambe Savaina;Andrebakely Nord
Sahafary;Andrebakely Nord
Morafeno;Andrebakely Nord
Andilambarika;Andrebakely Sud
Ambongabe;Andrebakely Sud
Andrebakely;Andrebakely Sud
Andranombainga;Andrebakely Sud
Antanimalalaka;Andrebakely Sud
Ambodifarihy;Andrebakely Sud
Lazarivo;Andrembesoa
Sakelo;Andrembesoa
Antananolofotsy;Andrembesoa
Boina;Andrembesoa
Laondany;Andrembesoa
Maditsaka;Andrembesoa
Vatogaga;Andrembesoa
Antsakoampito;Andrembona
Mahadera;Andrembona
Antanambao;Andrembona
Andrembona;Andrembona
Ambaliha;Andrembona
Andrasahabe;Andrembona
Lohanandro;Andriambilany
Behorimo;Andriambilany
Ambodivona;Andriambilany
Miarintsoa Vaovao;Andriambilany
Imerimandroso;Andriambilany
Ankadilalana;Andriambilany
Andriambilany;Andriambilany
Ambondrona;Andriambilany
Amboniriana;Andriambilany
Ambongamarina;Andriamena
Isinko;Andriamena
Soamiarinarivo;Andriamena
Anadabo;Andriamena
Antsahabe;Andriamena
Ambodiketsa Avaratra;Andriamena
Ambodirotra;Andriamena
Bemavo;Andriamena
Ambolodia;Andriamena
Ambohibary;Andriamena
Mahatsinjo;Andriamena
Andravainafo;Andriamena
Anjokozoko;Andriamena
Betanatanana;Andriamena
Andriamena I;Andriamena
Andriamena II;Andriamena
Ambodibonara;Andriamena
Telomita;Andriamena
Manakambahiny;Andriamena
Ambalabako;Andriamena
